Time,Bucket,Size (GB)
2025-09-29 13:54:11.242078,test04,0.173828125
2025-09-29 13:54:11.242078,test05,0.3203125
2025-09-29 13:54:11.242078,test06,0.5
2025-09-29 13:54:11.242078,test1,0.48828125
2025-09-29 13:54:11.242078,test13,0.146484375
2025-09-29 13:54:11.242078,test14,0.048828125
2025-09-29 13:54:11.242078,test15,0.244140625
2025-09-29 13:54:11.242078,test2,0.244140625
2025-09-29 13:54:11.242078,test3,0.244140625
2025-09-29 13:54:11.242078,test4,0.1953125
2025-09-29 13:54:41.193140,test04,0.173828125
2025-09-29 13:54:41.193140,test05,0.3203125
2025-09-29 13:54:41.193140,test06,0.5
2025-09-29 13:54:41.193140,test13,0.146484375
2025-09-29 13:54:41.193140,test14,0.048828125
2025-09-29 13:54:41.193140,test15,0.244140625
2025-09-29 13:54:41.193140,test2,0.244140625
2025-09-29 13:54:41.193140,test3,0.244140625
2025-09-29 13:54:41.193140,test4,0.1953125
2025-09-29 13:55:42.182864,test04,0.173828125
2025-09-29 13:55:42.182864,test05,0.3203125
2025-09-29 13:55:42.182864,test06,0.5
2025-09-29 13:55:42.182864,test13,0.146484375
2025-09-29 13:55:42.182864,test14,0.048828125
2025-09-29 13:55:42.182864,test15,0.244140625
2025-09-29 14:48:21.987331,test01,0.0
2025-09-29 14:48:29.062247,test01,0.0
2025-09-29 14:48:54.061487,test01,0.0
2025-09-29 14:48:58.578724,test01,0.0
2025-09-29 14:49:24.059955,test01,0.0
2025-09-29 14:49:29.057897,test01,0.0
2025-09-29 14:49:54.062717,test01,0.0
2025-09-29 14:49:59.062639,test01,0.0
2025-09-29 14:50:24.065793,test01,0.0
2025-09-29 14:50:29.053141,test01,0.0
2025-09-29 14:50:54.061586,test01,0.0
2025-09-29 14:50:54.565396,test01,0.0
2025-09-29 14:50:58.419386,test01,0.0
2025-09-29 14:51:00.039980,test01,0.0
2025-09-29 14:51:24.066562,test01,0.0
2025-09-29 14:51:26.061999,test01,0.0
2025-09-29 14:51:54.067588,test01,0.0
2025-09-29 14:51:55.337215,test01,0.0
2025-09-29 14:52:24.060933,test01,0.0
2025-09-29 14:52:26.066198,test01,0.0
2025-09-29 14:52:54.063438,test01,0.0
2025-09-29 14:52:56.058230,test01,0.0
2025-09-29 14:53:26.057012,test01,0.0
2025-09-29 14:53:45.053414,test01,0.0
2025-09-29 14:53:56.052035,test01,0.0
2025-09-29 14:54:19.234357,test01,0.0
2025-09-29 14:54:21.321600,test01,0.0
2025-09-29 14:54:52.306564,test01,0.0
2025-09-29 14:55:08.386360,test01,0.048828125
2025-09-29 14:55:26.324936,test01,0.09765625
2025-09-29 14:55:42.604292,test01,0.146484375
2025-09-29 14:55:52.414927,test01,0.1953125
2025-09-29 14:55:58.240739,test01,0.1953125
2025-09-29 14:56:03.022739,test01,0.244140625
2025-09-29 14:56:21.534200,test01,0.244140625
2025-09-29 14:56:21.534200,test02,0.0
2025-09-29 14:56:51.999032,test01,0.244140625
2025-09-29 14:56:51.999032,test02,0.0
2025-09-29 14:56:51.999032,test03,0.0
2025-09-29 14:56:51.999032,test04,0.0
2025-09-29 14:56:51.999032,test05,0.0
2025-09-29 14:56:51.999032,test06,0.0
2025-09-29 14:57:20.036337,test01,0.244140625
2025-09-29 14:57:20.036337,test02,0.0
